Name: CAP02_MMXU1PPVPhsABIMag | KeyTag: 17260000,12740004
Name: CAP02_MMXU1PPVPhsBCIMag | KeyTag: 17280000,12760004
Name: CAP02_MMXU1PPVPhsCAIMag | KeyTag: 17300000,12780004
Name: CAP02_MMXU1APhsAIMag | KeyTag: 17200000,12680004
Name: CAP02_MMXU1APhsBIMag | KeyTag: 17220000,12700004
Name: CAP02_MMXU1APhsCIMag | KeyTag: 17240000,12720004
Name: CAP02_MMXU1TotWInstMag | KeyTag: 17380000,12860004
Name: CAP02_MMXU1TotVArInstMag | KeyTag: 17360000,12840004
Name: CAP02_MMXU1TotPFMag | KeyTag: 17340000,12820004
Name: CAP02_CSWI2PosStVal | KeyTag: 11060001,5960005
Name: TS01_MMXU1PPVPhsABIMag | KeyTag: 4520001,11340008
Name: TS01_MMXU1PPVPhsBCIMag | KeyTag: 4540001,11360008
Name: TS01_MMXU1PPVPhsCAIMag | KeyTag: 4560001,11380008
Name: TS01_MMXU1APhsAIMag | KeyTag: 4420001,11240008
Name: TS01_MMXU1APhsBIMag | KeyTag: 4440001,11260008
Name: TS01_MMXU1APhsCIMag | KeyTag: 4460001,11280008
Name: TS01_MMXU1TotWInstMag | KeyTag: 4640001,11460008
Name: TS01_MMXU1TotVArInstMag | KeyTag: 4620001,11440008
Name: TS01_MMXU1TotPFMag | KeyTag: 4600001,11420008
Name: TS01_CSWI2PosStVal | KeyTag: 5980003,12940007
Name: TS02_MMXU1PPVPhsABIMag | KeyTag: 4920001,11580008
Name: TS02_MMXU1PPVPhsBCIMag | KeyTag: 4940001,11600008
Name: TS02_MMXU1PPVPhsCAIMag | KeyTag: 4960001,11620008
Name: TS02_MMXU1APhsAIMag | KeyTag: 4820001,11480008
Name: TS02_MMXU1APhsBIMag | KeyTag: 4840001,11500008
Name: TS02_MMXU1APhsCIMag | KeyTag: 4860001,11520008
Name: TS02_MMXU1TotWInstMag | KeyTag: 5040001,11700008
Name: TS02_MMXU1TotVArInstMag | KeyTag: 5020001,11680008
Name: TS02_MMXU1TotPFMag | KeyTag: 5000001,11660008
Name: TS02_CSWI2PosStVal | KeyTag: 7680003,14580007
Name: INC01_MMXU1PPVPhsABIMag | KeyTag: 17680000,13000004
Name: INC01_MMXU1PPVPhsBCIMag | KeyTag: 17700000,13020004
Name: INC01_MMXU1PPVPhsCAIMag | KeyTag: 17720000,13040004
Name: INC01_MMXU1APhsAIMag | KeyTag: 17620000,12940004
Name: INC01_MMXU1APhsBIMag | KeyTag: 17640000,12960004
Name: INC01_MMXU1APhsCIMag | KeyTag: 17660000,12980004
Name: INC01_MMXU1TotWInstMag | KeyTag: 120000,13100004
Name: INC01_MMXU1TotVArInstMag | KeyTag: 100000,13080004
Name: INC01_MMXU1TotPFMag | KeyTag: 17740000,13060004
Name: INC01_CSWI2PosStVal | KeyTag: 14020001,8920005
Name: INC02_MMXU1PPVPhsABIMag | KeyTag: 40001,13260004
Name: INC02_MMXU1PPVPhsBCIMag | KeyTag: 60001,13280004
Name: INC02_MMXU1PPVPhsCAIMag | KeyTag: 80001,13300004
Name: INC02_MMXU1APhsAIMag | KeyTag: 17980000,13200004
Name: INC02_MMXU1APhsBIMag | KeyTag: 1,13220004
Name: INC02_MMXU1APhsCIMag | KeyTag: 20001,13240004
Name: INC02_MMXU1TotWInstMag | KeyTag: 160001,13380004
Name: INC02_MMXU1TotVArInstMag | KeyTag: 140001,13360004
Name: INC02_MMXU1TotPFMag | KeyTag: 120001,13340004
Name: INC02_CSWI2PosStVal | KeyTag: 15720001,10560005
Name: L1M1_MMXU1PPVPhsABIMag | KeyTag: 6060001,8940008
Name: L1M1_MMXU1PPVPhsBCIMag | KeyTag: 6080001,8960008
Name: L1M1_MMXU1PPVPhsCAIMag | KeyTag: 6100001,8980008
Name: L1M1_MMXU1APhsAIMag | KeyTag: 6120001,8880008
Name: L1M1_MMXU1APhsBIMag | KeyTag: 6140001,8900008
Name: L1M1_MMXU1APhsCIMag | KeyTag: 6160001,8920008
Name: L1M1_MMXU1TotWInstMag | KeyTag: 6000001,9040008
Name: L1M1_MMXU1TotVArInstMag | KeyTag: 6020001,9020008
Name: L1M1_MMXU1TotPFMag | KeyTag: 6040001,9000008
Name: L1M1_CSWI2PosStVal | KeyTag: 
Name: L2BCU_MMXU1PPVPhsABIMag | KeyTag: 5100001,9120008
Name: L2BCU_MMXU1PPVPhsBCIMag | KeyTag: 5120001,9140008
Name: L2BCU_MMXU1PPVPhsCAIMag | KeyTag: 5140001,9160008
Name: L2BCU_MMXU1APhsAIMag | KeyTag: 5160001,9060008
Name: L2BCU_MMXU1APhsBIMag | KeyTag: 5180001,9080008
Name: L2BCU_MMXU1APhsCIMag | KeyTag: 5200001,9100008
Name: L2BCU_MMXU1TotWInstMag | KeyTag: 5060001,9220008
Name: L2BCU_MMXU1TotVArInstMag | KeyTag: 5080001,9200008
Name: L2BCU_MMXU1TotPFMag | KeyTag: 5380001,9180008
Name: L2BCU_CSWI2PosStVal | KeyTag: 
Name: L3BCU_MMXU1PPVPhsABIMag | KeyTag: 5500001,9300008
Name: L3BCU_MMXU1PPVPhsBCIMag | KeyTag: 5520001,9320008
Name: L3BCU_MMXU1PPVPhsCAIMag | KeyTag: 5540001,9340008
Name: L3BCU_MMXU1APhsAIMag | KeyTag: 5560001,9240008
Name: L3BCU_MMXU1APhsBIMag | KeyTag: 5580001,9260008
Name: L3BCU_MMXU1APhsCIMag | KeyTag: 5600001,9280008
Name: L3BCU_MMXU1TotWInstMag | KeyTag: 5440001,9400008
Name: L3BCU_MMXU1TotVArInstMag | KeyTag: 5460001,9380008
Name: L3BCU_MMXU1TotPFMag | KeyTag: 5480001,9360008
Name: L3BCU_CSWI2PosStVal | KeyTag: 
